Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
1981-02-05,0.00,5.22,5.22,8.26,9.13,11.30,9.13,5.22,10.87,15.65
1981-04-13,0.00,4.93,10.31,7.62,1.35,-2.24,-4.93,-4.04,-3.14,-1.35
1981-04-14,0.00,5.66,2.83,-3.77,-7.55,-10.38,-9.43,-8.49,-6.60,-5.19
1981-05-01,0.00,0.44,3.10,1.77,0.88,3.10,3.10,3.54,4.87,2.65
1981-05-28,0.00,0.00,4.91,4.91,3.02,4.53,7.92,6.04,4.91,0.75
1981-06-01,0.00,0.00,-1.98,-0.40,3.17,1.19,0.00,-4.37,-3.17,-2.78
1981-08-31,0.00,-1.75,3.51,4.68,7.60,7.60,7.02,8.19,11.11,13.45
1981-10-01,0.00,-3.03,-2.27,-8.33,-12.12,-12.88,-16.67,-16.67,-9.85,-12.12
1981-10-13,0.00,-2.07,-0.69,-2.76,-8.28,-8.28,-7.59,-4.83,-4.83,-6.90
1981-10-21,0.00,2.56,2.56,0.64,-2.56,-1.28,-2.56,-2.56,-1.28,1.28
1981-11-02,0.00,2.53,9.49,8.86,7.59,6.96,4.43,1.27,8.23,9.49
1981-11-19,0.00,4.61,5.26,3.29,0.66,1.97,1.97,1.32,2.63,0.00
1981-12-10,0.00,3.33,0.67,-4.00,-12.67,-22.00,-16.67,-18.67,-16.00,-16.67
1981-12-11,0.00,-2.76,-7.59,-16.55,-26.21,-20.69,-22.76,-20.00,-20.69,-15.17
1981-12-31,0.00,5.11,6.25,13.64,9.66,15.34,18.18,18.75,14.77,9.09
1982-03-02,0.00,2.04,9.52,10.88,10.20,11.56,11.56,17.01,17.69,19.05
1982-03-03,0.00,7.64,9.03,8.33,9.72,9.72,15.28,15.97,17.36,21.53
1982-03-31,0.00,0.00,0.00,0.70,2.11,1.41,2.11,9.86,9.15,7.75
1982-04-02,0.00,0.70,2.11,1.41,2.11,9.86,9.15,7.75,4.93,7.04
1982-04-05,0.00,1.42,0.71,1.42,9.22,8.51,7.09,4.26,6.38,10.64
1982-04-12,0.00,-0.78,-2.34,-5.47,-3.12,1.56,2.34,3.91,3.91,1.56
1982-05-25,0.00,1.75,1.75,3.51,1.75,5.26,7.89,7.89,8.77,10.53
1982-06-14,0.00,0.00,1.87,3.74,3.74,0.00,-2.80,-2.80,0.93,1.87
1982-06-15,0.00,1.87,3.74,3.74,0.00,-2.80,-2.80,0.93,1.87,4.67
1982-06-16,0.00,1.90,1.90,-1.90,-4.76,-4.76,-0.95,0.00,2.86,2.86
1982-07-21,0.00,1.74,6.09,6.09,10.43,6.96,6.09,3.48,9.57,10.43
1982-09-23,0.00,0.00,-1.38,-1.38,-0.69,-2.07,-3.45,-4.14,-11.72,-20.69
1983-02-25,0.00,-1.64,-2.47,0.82,2.19,4.11,7.12,4.38,5.75,7.12
1983-03-03,0.00,1.96,5.04,2.24,3.64,5.04,7.28,5.88,5.88,5.04
1983-03-31,0.00,1.82,2.74,3.65,4.26,-1.22,-3.34,-6.99,-9.42,-11.25
1983-05-02,0.00,-6.19,-13.14,-13.66,-12.11,-12.89,-10.05,-9.02,-9.54,-6.70
1983-06-07,0.00,0.63,1.04,4.38,6.47,9.19,4.38,6.26,10.86,10.23
1983-12-19,0.00,-3.74,-5.88,-5.35,-5.88,-6.95,-4.28,-4.28,-9.63,-19.25
1983-12-29,0.00,-5.13,-14.36,-15.90,-13.85,-7.69,-13.33,-14.87,-14.36,-11.79
1984-03-16,0.00,0.95,0.95,2.86,2.86,1.90,4.76,2.86,3.33,5.71
1984-04-04,0.00,2.59,2.59,-2.59,-1.55,-6.74,-6.74,-8.81,-13.99,-16.06
1984-05-16,0.00,-2.15,-9.44,-6.01,-3.86,-0.86,-1.29,-0.86,0.43,-0.86
1984-07-13,0.00,0.00,1.46,1.46,1.46,2.43,-3.40,-3.88,-5.83,-5.34
1984-08-29,0.00,1.85,2.78,2.78,1.85,1.85,2.31,0.46,3.24,-1.85
1984-09-21,0.00,1.88,3.29,3.29,5.63,7.98,7.04,5.63,4.69,6.57
1984-10-09,0.00,0.52,4.71,-0.52,0.00,-4.19,-7.33,-7.33,-6.28,-8.90
1984-10-19,0.00,-2.46,-3.45,0.49,2.96,2.46,1.48,1.97,1.48,1.97
1984-10-31,0.00,0.50,1.00,-5.00,-3.00,1.00,7.00,3.50,6.00,5.00
1984-11-07,0.00,6.06,2.53,5.05,4.04,4.04,6.06,11.62,8.59,6.57
1984-11-13,0.00,0.00,2.11,7.89,4.74,2.63,0.00,-1.05,-3.68,-8.95
1984-11-15,0.00,5.91,2.69,0.54,-2.15,-3.23,-5.91,-11.29,-9.14,-6.45
1984-11-16,0.00,-3.43,-5.71,-8.57,-9.71,-12.57,-18.29,-16.00,-13.14,-11.43
1984-12-07,0.00,1.40,4.67,3.74,1.40,-0.93,-7.01,-2.80,-2.34,-0.93
1984-12-19,0.00,1.37,-0.46,-0.91,-1.37,-5.02,-6.39,-1.83,-3.65,-3.65
1985-01-11,0.00,2.04,1.22,8.16,6.53,4.49,1.63,3.27,5.31,3.27
1985-01-15,0.00,7.02,5.37,3.31,0.41,2.07,4.13,2.07,0.00,1.24
1985-01-17,0.00,-2.18,-5.24,-3.49,-1.31,-3.49,-5.68,-4.37,-4.37,-1.31
1985-01-23,0.00,-2.16,-4.31,-3.02,-3.02,0.00,1.29,-0.86,-1.72,-3.45
1985-02-07,0.00,-2.09,0.42,5.02,7.53,6.28,7.53,11.72,10.04,7.53
1985-03-06,0.00,2.82,-0.56,-3.95,1.69,1.69,-2.26,-3.39,0.56,-0.56
1985-03-19,0.00,-1.69,0.00,2.81,-1.12,1.69,1.69,0.56,2.81,5.62
1985-03-22,0.00,-4.05,-1.16,-1.16,-2.31,0.00,2.89,2.89,3.47,9.25
1985-03-27,0.00,-1.14,1.14,4.00,4.00,4.57,10.29,10.29,4.00,2.29
1985-04-01,0.00,0.00,0.60,6.55,6.55,0.00,-1.79,0.60,-1.79,-2.98
1985-04-04,0.00,0.00,-7.01,-8.92,-6.37,-8.92,-10.19,-15.29,-16.56,-14.65
