Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
1981-02-05,0.00,-5.22,-5.22,-8.26,-9.13,-11.30,-9.13,-5.22,-10.87,-15.65
1981-04-13,0.00,-4.93,-10.31,-7.62,-1.35,2.24,4.93,4.04,3.14,1.35
1981-04-14,0.00,-5.66,-2.83,3.77,7.55,10.38,9.43,8.49,6.60,5.19
1981-05-01,0.00,-0.44,-3.10,-1.77,-0.88,-3.10,-3.10,-3.54,-4.87,-2.65
1981-05-28,0.00,0.00,-4.91,-4.91,-3.02,-4.53,-7.92,-6.04,-4.91,-0.75
1981-06-01,0.00,0.00,1.98,0.40,-3.17,-1.19,0.00,4.37,3.17,2.78
1981-08-31,0.00,1.75,-3.51,-4.68,-7.60,-7.60,-7.02,-8.19,-11.11,-13.45
1981-10-01,0.00,3.03,2.27,8.33,12.12,12.88,16.67,16.67,9.85,12.12
1981-10-13,0.00,2.07,0.69,2.76,8.28,8.28,7.59,4.83,4.83,6.90
1981-10-21,0.00,-2.56,-2.56,-0.64,2.56,1.28,2.56,2.56,1.28,-1.28
1981-11-02,0.00,-2.53,-9.49,-8.86,-7.59,-6.96,-4.43,-1.27,-8.23,-9.49
1981-11-19,0.00,-4.61,-5.26,-3.29,-0.66,-1.97,-1.97,-1.32,-2.63,0.00
1981-12-10,0.00,-3.33,-0.67,4.00,12.67,22.00,16.67,18.67,16.00,16.67
1981-12-31,0.00,-5.11,-6.25,-13.64,-9.66,-15.34,-18.18,-18.75,-14.77,-9.09
1982-03-02,0.00,-2.04,-9.52,-10.88,-10.20,-11.56,-11.56,-17.01,-17.69,-19.05
1982-03-03,0.00,-7.64,-9.03,-8.33,-9.72,-9.72,-15.28,-15.97,-17.36,-21.53
1982-03-31,0.00,0.00,0.00,-0.70,-2.11,-1.41,-2.11,-9.86,-9.15,-7.75
1982-04-02,0.00,-0.70,-2.11,-1.41,-2.11,-9.86,-9.15,-7.75,-4.93,-7.04
1982-04-05,0.00,-1.42,-0.71,-1.42,-9.22,-8.51,-7.09,-4.26,-6.38,-10.64
1982-05-25,0.00,-1.75,-1.75,-3.51,-1.75,-5.26,-7.89,-7.89,-8.77,-10.53
1982-06-14,0.00,0.00,-1.87,-3.74,-3.74,0.00,2.80,2.80,-0.93,-1.87
1982-06-15,0.00,-1.87,-3.74,-3.74,0.00,2.80,2.80,-0.93,-1.87,-4.67
1982-06-16,0.00,-1.90,-1.90,1.90,4.76,4.76,0.95,0.00,-2.86,-2.86
1982-07-21,0.00,-1.74,-6.09,-6.09,-10.43,-6.96,-6.09,-3.48,-9.57,-10.43
1982-09-23,0.00,0.00,1.38,1.38,0.69,2.07,3.45,4.14,11.72,20.69
1982-10-04,0.00,7.28,15.89,24.50,27.15,23.18,24.50,25.17,21.85,24.50
1982-10-29,0.00,7.01,14.95,15.89,12.62,7.94,11.68,15.89,23.36,21.03
1982-12-21,0.00,2.81,5.22,4.42,0.80,-3.61,-4.02,-8.43,-3.21,-2.81
1983-01-04,0.00,-3.72,-9.09,-4.96,-3.72,1.65,1.65,9.09,12.81,10.33
1983-03-09,0.00,-1.45,-3.78,-2.33,-2.33,-1.45,0.00,2.33,3.49,-1.45
1983-08-03,0.00,1.88,2.26,3.38,3.01,1.50,0.75,3.38,1.88,-0.38
1983-09-22,0.00,-5.53,-8.04,-8.54,-7.04,-7.04,-8.04,-9.55,-10.55,-18.09
1983-10-24,0.00,-5.29,-0.59,-1.76,6.47,8.24,10.59,2.94,-0.59,-1.18
1983-12-05,0.00,2.44,4.88,5.49,4.88,9.76,14.02,18.90,20.73,17.07
1984-02-21,0.00,-1.83,-0.91,-1.37,-6.85,-4.11,-1.37,-0.46,-2.28,-5.94
1984-04-12,0.00,1.94,6.80,8.74,9.71,10.19,8.25,7.28,15.53,16.99
1984-04-16,0.00,1.82,2.73,3.18,1.36,0.45,8.18,9.55,14.09,20.91
1984-07-26,0.00,-5.99,-5.99,-7.83,-11.06,0.92,7.83,9.22,5.07,9.68
1984-08-03,0.00,1.28,-2.56,1.71,-2.56,2.56,-1.28,-4.70,-3.85,-5.98
1984-10-19,0.00,2.46,3.45,-0.49,-2.96,-2.46,-1.48,-1.97,-1.48,-1.97
1984-11-15,0.00,-5.91,-2.69,-0.54,2.15,3.23,5.91,11.29,9.14,6.45
1984-12-14,0.00,6.02,1.85,1.39,0.00,1.85,2.31,2.78,6.48,7.87
1984-12-28,0.00,-4.29,-2.58,-2.58,-3.00,-3.86,-1.29,3.00,2.15,5.15
1985-01-25,0.00,-1.24,-1.24,-4.13,-5.37,-3.31,-2.48,-0.83,-1.24,-1.24
1985-02-22,0.00,-1.83,-7.80,-9.17,-8.72,-7.34,-5.05,-9.63,-18.81,-21.10
1985-03-15,0.00,-3.83,-2.73,-1.09,-2.73,-5.46,-1.64,-4.37,-4.37,-3.28
1985-03-29,0.00,-2.89,-2.89,-3.47,-9.25,-9.25,-2.89,-1.16,-3.47,-1.16
1985-05-10,0.00,-1.25,0.00,6.88,8.75,6.88,3.75,3.12,-1.25,-9.38
1985-05-17,0.00,-2.92,-3.51,-7.60,-15.20,-21.05,-19.88,-17.54,-18.71,-25.15
1985-07-08,0.00,2.13,2.13,1.42,0.71,-0.71,0.00,-2.13,-1.42,-4.26
1985-07-09,0.00,0.00,-0.69,-1.39,-2.78,-2.08,-4.17,-3.47,-6.25,-8.33
1985-07-11,0.00,-0.70,-2.10,-1.40,-3.50,-2.80,-5.59,-7.69,-9.09,-6.99
1985-07-26,0.00,1.56,-0.78,-0.78,-1.56,-3.91,-4.69,-7.03,-5.47,-4.69
1985-08-21,0.00,-0.84,1.68,2.52,2.52,0.00,0.84,-0.84,0.00,0.00
1985-08-28,0.00,0.84,-0.84,0.00,0.00,0.84,2.52,3.36,4.20,8.40
1985-10-23,0.00,-2.04,-2.04,-2.72,3.40,1.36,1.36,2.04,1.36,4.76
1985-11-22,0.00,1.31,4.58,5.23,5.88,5.23,7.19,5.23,3.27,1.31
1986-03-05,0.00,-2.46,-2.96,-1.97,-2.46,-2.46,2.96,2.46,5.91,4.43
