Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
1986-08-04,0.00,0.77,-0.26,0.26,1.28,1.28,2.55,2.55,3.06,2.55
1986-08-08,0.00,0.00,1.26,1.26,1.76,1.26,1.76,1.26,0.50,1.26
1986-08-19,0.00,-0.75,0.00,-0.75,0.75,1.00,1.74,1.49,-0.25,0.25
1986-12-15,0.00,-1.05,0.52,2.09,2.62,1.05,0.52,0.52,-2.62,-4.71
1987-01-21,0.00,-5.61,-5.10,-2.04,-1.02,-3.06,-2.04,-0.51,0.51,1.53
1987-03-12,0.00,-0.49,0.00,1.94,2.43,4.37,3.88,1.94,0.97,2.43
1987-06-05,0.00,2.65,2.65,4.76,6.88,7.41,8.99,9.52,10.05,10.05
1987-06-19,0.00,0.97,0.97,1.93,0.97,0.97,0.00,-1.45,-1.93,-3.86
1987-07-10,0.00,0.51,-1.03,-0.51,-0.51,-1.54,-2.05,-1.03,1.03,1.03
1987-07-14,0.00,0.52,0.52,-0.52,-1.04,0.00,2.07,2.07,1.55,2.59
1987-07-28,0.00,0.00,0.51,0.51,0.51,2.02,3.54,4.04,6.57,8.08
1987-08-05,0.00,0.49,2.93,4.39,2.93,3.41,5.37,5.37,5.37,6.34
1987-09-10,0.00,1.00,2.00,0.00,-2.00,-2.50,-2.50,-3.00,-1.50,-2.00
1987-09-28,0.00,-1.02,-0.51,-1.02,-2.03,-2.54,-5.08,-7.11,-5.58,-6.60
1987-11-24,0.00,2.72,-3.40,-4.08,-5.44,-10.20,-10.20,-9.52,-6.80,-2.04
1987-12-08,0.00,-2.08,-2.78,-2.08,-4.86,-2.78,-5.56,-0.69,-2.08,0.00
1988-02-19,0.00,0.60,1.20,1.20,2.99,6.59,4.19,2.99,1.20,1.80
1988-02-29,0.00,-1.15,-2.87,-2.30,-3.45,-4.60,-6.90,-8.62,-8.05,-7.47
1988-03-16,0.00,1.23,0.62,1.23,3.09,0.62,-0.62,-1.23,-1.23,-1.85
1988-04-05,0.00,1.89,4.40,3.77,3.14,4.40,1.26,0.00,1.89,1.89
1988-05-16,0.00,-0.61,0.61,0.00,-1.21,0.00,1.21,4.24,1.21,5.45
1988-05-19,0.00,-1.21,0.00,1.21,4.24,1.21,5.45,7.88,7.88,7.88
1988-06-08,0.00,0.55,1.66,6.08,4.97,5.52,5.52,5.52,6.08,8.84
1988-06-28,0.00,1.04,2.08,4.69,3.65,1.04,0.00,0.00,-2.08,-2.60
1988-07-05,0.00,-2.51,-3.52,-3.52,-5.53,-6.03,-5.53,-5.03,-5.53,-6.03
1988-09-13,0.00,-1.32,-0.44,-0.44,0.44,-0.44,-1.32,-1.76,-1.32,-0.44
1988-09-14,0.00,0.89,0.89,1.79,0.89,0.00,-0.45,0.00,0.89,0.89
1988-09-26,0.00,0.00,1.77,-0.44,-0.88,-0.44,0.44,0.00,0.44,0.44
1988-10-07,0.00,0.44,0.00,0.44,0.44,0.88,1.76,0.88,1.32,1.32
1988-10-11,0.00,0.44,0.44,0.88,1.76,0.88,1.32,1.32,0.44,0.44
1988-11-18,0.00,0.95,1.90,1.43,0.48,0.48,2.38,2.38,2.38,2.38
1988-12-06,0.00,-0.44,-1.33,-0.44,0.00,0.00,-3.10,0.44,-1.33,-2.65
1988-12-12,0.00,0.00,-3.10,0.44,-1.33,-2.65,-3.10,-3.10,-4.87,-4.42
1989-01-20,0.00,1.33,4.89,6.22,5.78,6.22,6.67,6.22,6.22,8.89
1989-01-31,0.00,0.00,2.51,2.51,7.95,7.11,6.69,5.86,5.02,5.86
1989-02-03,0.00,5.31,4.49,4.08,3.27,2.45,3.27,4.49,6.53,8.98
1989-03-02,0.00,-1.08,-1.81,-1.81,-1.81,-1.81,-0.72,-0.72,0.36,5.78
1989-03-13,0.00,1.09,6.55,4.73,4.36,4.73,5.09,3.27,2.91,2.91
1989-03-29,0.00,-2.07,-1.38,-3.79,-5.52,-5.52,-6.55,-7.24,-4.83,-3.45
1989-04-17,0.00,1.41,0.70,1.76,2.46,3.52,1.76,2.82,2.46,3.17
1989-05-01,0.00,5.42,8.47,9.83,8.14,6.78,8.14,7.80,8.47,10.51
1989-05-17,0.00,1.22,2.45,2.14,2.75,7.34,9.48,8.87,14.68,14.98
1989-09-01,0.00,-0.48,-2.63,-1.19,-2.15,-2.15,-5.01,-3.58,-2.63,-1.91
1989-09-27,0.00,0.00,-0.48,-0.24,-0.48,-2.38,-2.14,-2.38,-2.62,-2.86
1989-10-03,0.00,-1.91,-1.67,-1.91,-2.15,-2.39,-3.35,-9.09,-2.39,-4.55
1989-10-16,0.00,-0.50,1.25,1.50,2.26,-0.25,-0.75,-2.76,-7.27,-6.02
1990-01-02,0.00,-2.13,-4.26,-3.72,-3.72,-5.59,-6.38,-9.04,-11.70,-8.51
1990-01-16,0.00,-1.45,2.31,0.58,2.60,1.45,1.16,-0.58,-1.73,-5.49
1990-02-02,0.00,-1.19,0.60,-0.60,0.30,0.30,0.00,1.49,4.17,6.55
1990-02-07,0.00,0.90,0.90,0.60,2.10,4.79,7.19,5.69,5.09,6.29
1990-02-09,0.00,-0.30,1.19,3.86,6.23,4.75,4.15,5.34,4.45,4.45
1990-02-14,0.00,2.29,0.86,0.29,1.43,0.57,0.57,2.57,1.71,2.00
1990-08-13,0.00,1.10,-0.37,-0.73,1.10,-1.10,-6.59,-8.79,-7.69,-3.66
1990-09-07,0.00,-0.77,-2.30,-6.51,-9.20,-10.34,-14.18,-16.48,-20.31,-19.16
1990-11-26,0.00,-2.91,-7.28,-6.80,-7.28,-2.91,2.91,-1.46,-5.34,-3.88
1990-12-10,0.00,-1.55,-2.59,-3.63,-5.70,-0.52,3.11,6.22,5.18,3.63
1991-03-05,0.00,-3.59,-4.38,-3.98,-3.98,-1.99,0.40,0.00,-1.20,-3.98
1991-08-06,0.00,2.15,3.23,5.38,10.75,11.47,8.96,7.17,6.45,6.81
1991-09-30,0.00,-1.73,-3.11,-3.46,-3.81,-4.50,-7.27,-7.61,-4.84,0.00
1991-12-02,0.00,0.00,-2.76,-4.14,-1.38,-1.38,-1.03,0.34,2.07,1.03
1991-12-18,0.00,2.72,6.12,7.14,11.56,11.22,10.20,10.54,9.86,12.59
1991-12-31,0.00,2.48,7.74,6.81,10.53,6.19,4.02,2.17,8.98,12.69
1992-01-08,0.00,-2.04,-3.79,2.62,6.12,7.29,4.66,0.29,-0.29,1.46
1992-01-29,0.00,-0.85,-1.69,-1.13,-0.56,2.54,2.54,1.98,1.13,2.82
1992-02-12,0.00,-0.55,-2.19,-3.56,-1.37,-0.27,0.27,0.82,1.92,2.74
1992-03-12,0.00,-2.22,0.56,0.00,2.50,5.28,1.94,3.06,3.89,3.89
1992-05-18,0.00,0.00,-0.51,-1.29,-3.34,-4.11,-3.86,-4.37,-5.14,-5.14
1992-06-03,0.00,-2.17,-0.82,-1.09,0.00,-0.54,0.82,1.09,1.09,-0.82
1992-07-20,0.00,-1.60,-2.94,-3.21,-5.88,-1.60,-0.80,-1.07,-1.60,-1.87
1992-09-28,0.00,1.43,1.71,0.00,-1.43,-1.71,-3.14,-3.43,-4.86,-3.71
1992-10-14,0.00,1.73,4.05,4.91,5.20,5.20,5.78,7.51,8.38,8.38
1992-11-02,0.00,-0.80,0.00,1.87,4.27,4.00,5.87,5.07,5.33,4.53
1992-11-25,0.00,-0.25,0.25,0.00,0.00,0.50,0.25,-0.25,-0.50,-0.99
1993-05-19,0.00,-1.07,-0.27,1.33,3.73,2.93,0.53,2.40,2.67,3.20
